num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
670	0.0436816495330942	0.120774537333172	751	649	0.933459868839218	95			319.669999999998	-4.14027856491686e-05		0.0899999999965075	infill_ei	0.660000000003493	0.00503150398826421	0.93736677297553	115
208	0.054554414715834	0.734264579182661	1161	952	0.933433700910995	70			87.2200000000012	-5.54095217091082e-05		0.0399999999935972	infill_ei	0.429999999993015	0.00510029640527139	0.937763898567354	90
1300	0.00804681750065718	0.963630372888832	1542	2326	0.933315106074512	72			272.970000000001	-5.31465969396044e-05		0.0399999999935972	infill_ei	0.490000000005239	0.00507247533032048	0.937746505526453	92
1758	0.0484833408330963	0.160685983555085	1310	2362	0.933219613422968	88			373.240000000005	-3.93584520109884e-05		0.0599999999976717	infill_ei	0.5	0.00495794271964957	0.937448679845436	108
2200	0.0984224013311985	0.726686748650285	1080	1058	0.9330593352394	50			785.239999999998	-9.27161848900437e-05		0.0199999999967986	infill_ei	0.349999999998545	0.00519712616402681	0.938600622243816	70
2999	0.0989064810598886	0.998346519720584	2011	7997	0.933017486412153	23			251.970000000001	-9.10791530594519e-05		0.0499999999992724	infill_ei	0.56000000000131	0.00636050360644828	0.936047387092947	43
566	0.0920015838031761	0.910122228376759	1182	2220	0.932859673450245	75			123.309999999998	-4.80386122445227e-05		0.0400000000081491	infill_ei	0.379999999990105	0.00502817206596198	0.93765509306082	95
941	0.0841202529384784	0.346468412053173	1304	7400	0.932830330285862	0			80.7600000000002				initdesign				11
263	0.0735687735725078	0.250908340150801	1198	4713	0.932587139567065	60			43.3100000000122	-7.12686783449839e-05		0.0200000000040745	infill_ei	0.44999999999709	0.00505612422453779	0.938362028508205	80
268	0.0852970312945178	0.405343867000478	1428	1630	0.93252747619038	57			84.0799999999872	-7.76309496571859e-05		0.0200000000040745	infill_ei	0.320000000006985	0.00508315949156844	0.938475721380357	77
3000	0.00501501935053998	0.316795160684745	1013	4945	0.932483888328735	48			554.540000000001	-0.00127834083642529		0.0800000000017462	infill_ei	0.439999999995052	0.00352239344279377	0.947227007544049	68
799	0.0450048567397707	0.981144947742519	1535	3036	0.93245863078262	82			141.339999999997	-4.5620636123048e-05		0.0299999999988358	infill_ei	0.470000000001164	0.00499897460291069	0.937625762308041	102
1896	0.0265875528695274	0.698512748517853	772	5196	0.932239439064827	85			223.190000000002	-4.14165187993018e-05		0.0599999999976717	infill_ei	0.44999999999709	0.00496655633151295	0.937522054353735	105
1439	0.0994826740279436	0.519811470771601	1573	1286	0.932236520855678	55			599.139999999999	-8.28316151776256e-05		0.0299999999988358	infill_ei	0.389999999999418	0.00509560709763209	0.938581589313971	75
1976	0.0392553053591467	0.529618712500411	1605	5239	0.932213297664468	65			435.789999999994	-6.45552071535139e-05		0.0299999999988358	infill_ei	0.440000000002328	0.00512647477034264	0.93800736946139	85
1981	0.0227888863512381	0.114196888788825	149	3328	0.932163805515392	81			294.289999999994	-4.6663386073532e-05		0.0299999999988358	infill_ei	0.450000000011642	0.00499382934571291	0.937680381875968	101
